concept_id,preferred_term,fsn
15950861000119104,Malignant melanoma of skin of right breast,Malignant melanoma of skin of right breast (disorder)
15950821000119109,Malignant melanoma of skin of left breast,Malignant melanoma of skin of left breast (disorder)
15950421000119107,Primary Merkel cell carcinoma of skin of left breast,Primary Merkel cell carcinoma of skin of left breast (disorder)
15950381000119103,Primary Merkel cell carcinoma of skin of right breast,Primary Merkel cell carcinoma of skin of right breast (disorder)
15950221000119108,Primary malignant neoplasm of skin of left breast,Primary malignant neoplasm of skin of left breast (disorder)
15950141000119105,Primary basal cell carcinoma of skin of left breast,Primary basal cell carcinoma of skin of left breast (disorder)
15950101000119108,Primary basal cell carcinoma of skin of right breast,Primary basal cell carcinoma of skin of right breast (disorder)
15950061000119105,Primary malignant neoplasm of skin of right breast,Primary malignant neoplasm of skin of right breast (disorder)
15950021000119100,Primary squamous cell carcinoma of skin of right breast,Primary squamous cell carcinoma of skin of right breast (disorder)
15949941000119101,Primary squamous cell carcinoma of skin of left breast,Primary squamous cell carcinoma of skin of left breast (disorder)
12246641000119104,Bilateral metastatic malignant neoplasm to breasts,Metastatic malignant neoplasm to bilateral breasts (disorder)
12241071000119106,Metastatic malignant neoplasm to right breast,Metastatic malignant neoplasm to right breast (disorder)
12241031000119108,Metastatic malignant neoplasm to left breast,Metastatic malignant neoplasm to left breast (disorder)
1082701000112100,Locally advanced breast cancer,Locally advanced breast cancer (disorder)
351471000119106,Primary Merkel cell carcinoma of skin of breast,Primary Merkel cell carcinoma of skin of breast (disorder)
145501000119108,Metastatic malignant neoplasm to breast,Metastatic malignant neoplasm to breast (disorder)
45061000087102,Malignant neoplasm of breast in remission,Malignant neoplasm of breast in remission (disorder)
44721000087109,Malignant neoplasm of breast in full remission,Malignant neoplasm of breast in full remission (disorder)
1306580005,Infiltrating duct carcinoma of lower inner quadrant of left breast,Infiltrating duct carcinoma of lower inner quadrant of left breast (disorder)
1306579007,Infiltrating duct carcinoma of lower inner quadrant of right breast,Infiltrating duct carcinoma of lower inner quadrant of right breast (disorder)
1306578004,Infiltrating duct carcinoma of lower inner quadrant of breast,Infiltrating duct carcinoma of lower inner quadrant of breast (disorder)
1306576000,Infiltrating duct carcinoma of right breast,Infiltrating duct carcinoma of right breast (disorder)
1306575001,Infiltrating duct carcinoma of left breast,Infiltrating duct carcinoma of left breast (disorder)
1306574002,Infiltrating duct carcinoma of lower outer quadrant of left breast,Infiltrating duct carcinoma of lower outer quadrant of left breast (disorder)
1306573008,Infiltrating duct carcinoma of lower outer quadrant of right breast,Infiltrating duct carcinoma of lower outer quadrant of right breast (disorder)
1306572003,Infiltrating duct carcinoma of lower outer quadrant of breast,Infiltrating duct carcinoma of lower outer quadrant of breast (disorder)
1306571005,Infiltrating duct carcinoma of upper inner quadrant of left breast,Infiltrating duct carcinoma of upper inner quadrant of left breast (disorder)
1306570006,Infiltrating duct carcinoma of upper inner quadrant of right breast,Infiltrating duct carcinoma of upper inner quadrant of right breast (disorder)
1306569005,Infiltrating duct carcinoma of upper inner quadrant of breast,Infiltrating duct carcinoma of upper inner quadrant of breast (disorder)
1306568002,Infiltrating duct carcinoma of upper outer quadrant of breast,Infiltrating duct carcinoma of upper outer quadrant of breast (disorder)
1306567007,Infiltrating duct carcinoma of upper outer quadrant of left breast,Infiltrating duct carcinoma of upper outer quadrant of left breast (disorder)
1306566003,Infiltrating duct carcinoma of upper outer quadrant of right breast,Infiltrating duct carcinoma of upper outer quadrant of right breast (disorder)
1306565004,Lobular carcinoma of left breast,Lobular carcinoma of left breast (disorder)
1306564000,Lobular carcinoma of right breast,Lobular carcinoma of right breast (disorder)
1306558007,Infiltrating duct carcinoma of central portion of right breast,Infiltrating duct carcinoma of central portion of right breast (disorder)
1306557002,Infiltrating duct carcinoma of central portion of left breast,Infiltrating duct carcinoma of central portion of left breast (disorder)
1306556006,Infiltrating duct carcinoma of central portion of breast,Infiltrating duct carcinoma of central portion of breast (disorder)
1306555005,Infiltrating duct carcinoma of axillary tail of breast,Infiltrating duct carcinoma of axillary tail of breast (disorder)
1306554009,Infiltrating duct carcinoma of axillary tail of right breast,Infiltrating duct carcinoma of axillary tail of right breast (disorder)
1306552008,Infiltrating duct carcinoma of axillary tail of left breast,Infiltrating duct carcinoma of axillary tail of left breast (disorder)
1306548008,Malignant neoplasm of central portion of breast,Malignant neoplasm of central portion of breast (disorder)
1306547003,Metastatic malignant neoplasm to upper outer quadrant of breast,Metastatic malignant neoplasm to upper outer quadrant of breast (disorder)
1306546007,Metastatic malignant neoplasm to upper inner quadrant of breast,Metastatic malignant neoplasm to upper inner quadrant of breast (disorder)
1306545006,Metastatic malignant neoplasm to lower outer quadrant of breast,Metastatic malignant neoplasm to lower outer quadrant of breast (disorder)
1306544005,Metastatic malignant neoplasm to lower inner quadrant of breast,Metastatic malignant neoplasm to lower inner quadrant of breast (disorder)
1306543004,Metastatic malignant neoplasm to central portion of breast,Metastatic malignant neoplasm to central portion of breast (disorder)
1306542009,Primary malignant neoplasm of axillary tail of right breast,Primary malignant neoplasm of axillary tail of right breast (disorder)
1306541002,Primary malignant neoplasm of axillary tail of left breast,Primary malignant neoplasm of axillary tail of left breast (disorder)
1306517000,Primary lobular carcinoma of right breast,Primary lobular carcinoma of right breast (disorder)
1306516009,Primary lobular carcinoma of left breast,Primary lobular carcinoma of left breast (disorder)
1306515008,Recurrent primary malignant neoplasm of breast,Recurrent primary malignant neoplasm of breast (disorder)
1306514007,Recurrent primary malignant neoplasm of left breast,Recurrent primary malignant neoplasm of left breast (disorder)
1306513001,Recurrent primary malignant neoplasm of right breast,Recurrent primary malignant neoplasm of right breast (disorder)
1306512006,Primary inflammatory carcinoma of breast,Primary inflammatory carcinoma of breast (disorder)
1306511004,Primary malignant neoplasm of bilateral breasts,Primary malignant neoplasm of bilateral breasts (disorder)
1306509008,Primary malignant neoplasm of central portion of breast,Primary malignant neoplasm of central portion of breast (disorder)
1306508000,Primary malignant neoplasm of central portion of left breast,Primary malignant neoplasm of central portion of left breast (disorder)
1306507005,Primary malignant neoplasm of central portion of right breast,Primary malignant neoplasm of central portion of right breast (disorder)
